zip_code,latitude,longitude,city,state,county,Hub Lat,Hub Long
85364,32.615305,-114.648722,Yuma,AZ,Yuma,,
85365,32.709332,-114.490471,Yuma,AZ,Yuma,,
85366,32.609959,-114.631172,Yuma,AZ,Yuma,,
85367,32.656575,-114.404216,Yuma,AZ,Yuma,,
85369,32.751632,-114.074901,Yuma,AZ,Yuma,,
85001,33.703967,-112.351835,Phoenix,AZ,Maricopa,,
85002,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85003,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85004,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85005,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85006,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85007,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85008,33.446797,-111.953512,Phoenix,AZ,Maricopa,,
85009,33.447489,-111.96942,Phoenix,AZ,Maricopa,,
85010,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85011,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85012,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85013,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85014,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85015,33.478293,-112.115805,Phoenix,AZ,Maricopa,,
85016,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85017,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85018,33.482033,-111.735322,Phoenix,AZ,Maricopa,,
85019,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85020,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85021,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85022,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85023,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85024,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85025,33.422621,-111.723635,Phoenix,AZ,Maricopa,,
85026,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85027,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85028,33.382744,-111.66139,Phoenix,AZ,Maricopa,,
85029,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85030,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85031,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85032,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85033,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85034,33.431304,-111.987383,Phoenix,AZ,Maricopa,,
85035,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85036,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85037,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85038,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85039,33.276539,-112.18717,Phoenix,AZ,Maricopa,,
85040,33.367267,-112.066878,Phoenix,AZ,Maricopa,,
85041,33.379728,-112.112254,Phoenix,AZ,Maricopa,,
