Name,Location,Latitude,Longitude,County
Apache County Regional Landfill - Blue Hills,"Highway 191
3 mi NE of St. Johns",34.53204013,-109.3450485,Apache
Cochise County Western Regional Landfill,2595 N. Sagebrush Road,31.7168227,-110.283276,Cochise
Huachuca City Landfill,600 Skyline Drive,31.63516413,-110.3300001,Cochise
Cinder Lake MSW LF,6770 E. Cinder Lake Landfill Road,35.30504273,-111.5209384,Coconino
"South Rim Landfill, Grand Canyon National Park",2 miles north of South Rim GC National Park entrance off SR-64,36.05731544,-112.1399542,Coconino
Buckhead Mesa Landfill,"1321 E. Buckhead Mesa Landfill Rd, Payson",34.3335689,-111.401319,Gila
Russell Gulch Landfill,"5891 Hope Ln, Globe, AZ 85501",33.39994947,-110.8102536,Gila
Graham County Regional Landfill,"3600 N Safford Landfill Rd, Safford, AZ 85546",32.8713272,-109.7184997,Graham
Loma Linda Landfill,"1271 Skyline View Rd, Clifton, AZ 85533",32.99954638,-109.2376673,Greenlee
La Paz County Landfill,"26999 Highway 95
Mile Post 128",33.94629898,-114.1935241,La Paz
Butterfield Station Landfill,40404 S. 99th Avenue,,,Maricopa
City of Glendale Municipal Landfill,11480 W Glendale Avenue,33.54398676,-112.307009,Maricopa
Northwest Regional MSW Landfill,19401 W. Deer Valley Road,33.68187058,-112.4762625,Maricopa
"Sierra Estrella Landfill, Inc","South of SR 238, on N. Ralston Rd.",32.98393037,-112.1173185,Maricopa
Southwest Regional Landfill,24427 S Highway 85,33.22271418,-112.6422269,Maricopa
State Route 85 Landfill,28633 W. Patterson Road,33.16783556,-112.6715594,Maricopa
Arizona Strip Community Landfill,"Hwy 389, 9 miles southeast of Colorado City",36.86689923,-112.7848458,Mohave
Cerbat Municipal Solid Waste Landfill,"7300 Mineral Park Rd., Golden Valley",35.53175617,-114.1362729,Mohave
Lake Havasu Landfill,3251 East Chenoweth Drive,34.54720405,-114.3192736,Mohave
Mohave Valley Landfill,3999 El Rodeo Road,35.02258285,-114.5141612,Mohave
Painted Desert Landfill,9001 N. Porter Avenue,34.99990717,-110.337772,Navajo
Ajo Municipal Solid Waste Landfill,"2000 North Ajo Well No. 1 Rd., Ajo",32.4422003,-112.8485719,Pima
Los Reales Landfill,5300 E. Los Reales Road,32.11940252,-110.8812893,Pima
Marana Regional Landfill,14508 West Avra Valley Road,32.40946127,-111.2706474,Pima
Sahuarita Landfill,"16605 S. La Canada Dr., Sahuarita",31.94896535,-110.9928802,Pima
Apache Junction LF,4050 South Tomahawk Road,33.3673911,-111.5308091,Pinal
Cactus Landfill,22481 East Deep Well Ranch Road,32.77438497,-111.3248936,Pinal
Casa Grande Landfill,"5200 S. ChuiChu Road
3.2 miles S of City",32.83246016,-111.7579614,Pinal
City of Eloy Landfill,"305 So. Toltec Hwy, Eloy",32.75180436,-111.6177695,Pinal
Dudleyville Landfill,8195 North Highway 177,32.94915405,-110.7370251,Pinal
Ironwood Landfill,12720 East Highway 287,33.00943341,-111.4334846,Pinal
Rio Rico MSW Landfill,1500 W. Frontage Road,31.51943965,-111.0206443,Santa Cruz
Sonoita-Elgin Landfill,"2857 Hwy 83, Sonoita",31.67561168,-110.6093731,Santa Cruz
Town of Patagonia Landfill,"McKeown Ave., Patagonia",31.5658151,-110.7633019,Santa Cruz
Gray Wolf Regional Landfill,23355 East Highway 169,34.51310336,-112.0514433,Yavapai
Copper Mountain Landfill,34853 East County 12th Street,32.64922554,-114.0397724,Yuma
South Yuma County Landfill,19536 S. Avenue 1 E,32.54551316,-114.6157272,Yuma
Yuma Proving Ground Solid Waste Facility,25 miles east of Yuma on Hwy 95 within Yuma Proving Ground,32.88131413,-114.4356141,Yuma
