zip_code,latitude,longitude,city,state,County,supply
85085,33.760823,-112.116494,Phoenix,AZ,Maricopa,
85009,33.417012,-112.118531,Phoenix,AZ,Maricopa,
85009,33.44318338,-112.1384214,Phoenix,AZ,Maricopa,
85387,33.68123,-112.4774,Surprise,AZ,Maricopa,
85119,33.381338,-111.5363,Apache Junction,AZ,Pinal,
85705,32.27915,-111.004776,Tucson,AZ,Pima,
86312,32.175087,-110.91214,Tucson,AZ,Pima,
86314,34.627778,-112.262805,Prescott Valley,AZ,Yavapai,
,,,,,,
86312,34.70028547,-112.3531202,Prescott Valley,AZ,Yavapai,17
86314,34.65301879,-112.3446186,Prescott Valley,AZ,Yavapai,58
86301,34.62460529,-112.3215345,Prescott,AZ,Yavapai,39
86302,34.59408777,-112.2988752,Prescott,AZ,Yavapai,21
86303,34.5895657,-112.4352179,Prescott,AZ,Yavapai,29
86304,34.66714978,-112.469486,Prescott,AZ,Yavapai,4
86305,34.54622638,-112.4839055,Prescott,AZ,Yavapai,25
86313,34.6197178,-112.4667394,Prescott,AZ,Yavapai,16
86313,34.59824242,-112.316364,Prescott,AZ,Yavapai,15
86313,34.59259008,-112.3349035,Prescott,AZ,Yavapai,16
,,,,,,
86301,34.57896,-112.4248596,Prescott,AZ,Yavapi,
,,,,,,
85364,33.59985223,-112.2509753,Yuma,AZ,Peoria,
85369,33.42190055,-112.0916018,Yuma,AZ,Phoenix,
85003,33.40963096,-111.8689692,Phoenix,AZ,Mesa,
85010,33.41794074,-112.0038363,Phoenix,AZ,Phoenix,
85365,33.41792283,-112.0039007,Yuma,AZ,Phoenix,
85366,33.4606301,-112.0624346,Yuma,AZ,Phoenix,
85367,33.44835086,-112.1426706,Yuma,AZ,Phoenix,
85001,33.44460616,-112.0998612,Phoenix,AZ,Phoenix,
85002,33.41914021,-111.9739925,Phoenix,AZ,Tempe,
85004,33.41514254,-111.9907763,Phoenix,AZ,Phoenix,
85005,33.44578659,-112.0635872,Phoenix,AZ,Phoenix,
85006,33.69569115,-112.0705317,Phoenix,AZ,Phoenix,
85007,33.43801038,-112.1771561,Phoenix,AZ,Phoenix,
85008,33.40079297,-111.9464574,Phoenix,AZ,Phoenix,
85009,33.44535235,-112.0171588,Phoenix,AZ,Phoenix,
85011,33.67803779,-112.0262578,Phoenix,AZ,Phoenix,
85012,33.44581484,-112.111281,Phoenix,AZ,Phoenix,
85013,33.44535235,-112.0172017,Phoenix,AZ,Phoenix,
85014,33.45025206,-112.1598372,Phoenix,AZ,Phoenix,
,,,,,,
,35.540361,-113.415346,,,,
,35.605301,-113.642712,,,,
,35.605301,-113.642712,,,,
,35.605301,-113.642712,,,,
,35.605301,-113.642712,,,,
,35.605301,-113.642712,,,,
,35.74782,-113.8106,,,,
,35.397172,-113.843241,,,,
